index,species_default_150,species_inhome_mix_pairs,species_default_200,species_default_50_epoch,species_random_fair_batch,species_inhomo_fair_batch,species_random_with_pair,species_inhomo_shuffle_once,species_default_40_epoch
0,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.57
1,0.57,0.56,0.57,0.57,0.57,0.57,0.56,0.57,0.57
2,0.57,0.56,0.57,0.57,0.57,0.57,0.56,0.57,0.57
3,0.57,0.56,0.57,0.58,0.57,0.57,0.57,0.57,0.56
4,0.56,0.57,0.56,0.57,0.57,0.57,0.56,0.57,0.58
mean,0.566,0.564,0.568,0.572,0.57,0.57,0.564,0.5679999999999998,0.5700000000000001
var,2.399999999999951e-05,2.399999999999951e-05,1.5999999999999674e-05,1.600000000000003e-05,0.0,0.0,2.399999999999951e-05,1.599999999999967e-05,3.999999999999963e-05
